No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain
167,1,Class,,Activities,,,,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,
168,2,Composition,,Activities,Approved,,Activity,0..1,"Occurs at a specific date and time when a system user confirms the status of a data entry, indicating that it has been reviewed, validated, and authorized for further processing or inclusion in the financial records.",General,,
169,2,Composition,,Activities,Created,,Activity,0..1,"The initial action where a system user inputs new data into the accounting system at a specific date and time, generating a record representing a financial transaction or relevant account information. It involves the validation, approval, and official recording of the data entry, affirming its accuracy and completeness.",General,,
170,2,Composition,,Activities,Last Modified,,Activity,0..1,"Refers to the most recent action taken to alter or update a data entry within the accounting system. It indicates the date and time of the last modification made to the entry, reflecting the latest revision or adjustment.",General,,
171,2,Composition,,Activities,Posted,,Activity,0..1,"Involves the validation, approval, and official recording of a data entry within the accounting system by a system user at a specific date and time, affirming its accuracy and completeness.",General,,
172,1,Class,,Activity,,,,,A class that records specific actions or tasks completed or in progress.,General,,
173,2,Attribute,,Activity,Date,Date,,0..1,"The date marks when an activity occurred, ideally recorded automatically by the system.",General,,DATE
174,2,Attribute,,Activity,Time,Time,,0..1,The specified time at which an activity occurs.,General,,TIME
175,2,Reference Association,,Activity,,,User,0..1,"A class containing information on system users, essential for managing access, security, and auditing system interactions.",General,,
176,1,Class,,Address,,,,,A class that specifies the location details of an individual or entity.,General,,
177,2,Attribute,,Address,Street Address1,Name,,0..1,The primary line of the street address.,General,,Name Medium
178,2,Attribute,,Address,Street Address2,Name,,0..1,"The secondary line of the street address, if applicable.",General,,Name Medium
179,2,Attribute,,Address,City Name,Name,,0..1,The municipal designation within an address.,General,,CITY NAME
180,2,Attribute,,Address,State Province Code,Code,,0..1,The code for the state or province of the address as specified by ISO 3166-2.,General,,STATE PROVINCE CODE
181,2,Attribute,,Address,Postal Code,Code,,0..1,The code that identifies a specific geographic delivery area for an address.,General,,POSTAL CODE
182,2,Attribute,,Address,Country Code,Code,,0..1,"The official code representing the country of an address, as standardized by ISO 3166-1.",General,,COUNTRY CODE
183,1,Class,,Amount,,,,,A class that specifies a value of money in a given currency.,General,,
184,2,Attribute,,Amount,Value,Decimal,,0..1,The numerical value representing a sum of money.,General,,AMOUNT
185,2,Reference Association,,Amount,,,Currency,0..1,A class holds information about different currencies.,General,,
186,1,Class,,Amounts,,,,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",General,,
187,2,Composition,,Amounts,Functional,,Amount,0..1,The monetary amount recorded in the functional currency. Primarily used for accounting purposes.,General,,
188,2,Composition,,Amounts,Local,,Amount,0..1,The monetary amount expressed in the currency of the country where the transaction took place.,General,,
189,2,Composition,,Amounts,Reporting,,Amount,0..1,"The amount used in financial reporting, recorded in the reporting currency.",General,,
190,2,Composition,,Amounts,Transaction,,Amount,0..1,The monetary amount documented in business transaction records.,General,,
202,1,Class,,Bill,,,,,"A class of document that is officially cited within another record or transaction, serving as verification or supporting detail for financial or operational activities.",General,,
203,2,Attribute,,Bill,ID,Identifier,,0..1,The unique identifier for the referenced document.,General,,Identifier Long
204,2,Attribute,,Bill,Date,Date,,0..1,The date associated with a business transaction.,General,,DATE
205,2,Reference Association,,Bill,,,Bill Type,0..1,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",General,,
206,1,Class,,Bill Type,,,,,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",Base,26,
207,2,Attribute,PK,Bill Type,Code,Identifier,,1..1,The unique code that classifies the type of bill.,Base,26,Identifier Medium
208,2,Attribute,,Bill Type,Name,Name,,0..1,The classification or designation of a bill reflecting its nature.,Base,26,Name Short
209,2,Attribute,,Bill Type,Active Indicator,Indicator,,0..1,The flag indicating if a bill type is currently recognized and valid for use.,Base,26,Indicator
210,1,Class,,Business Segment,,,,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,4,
211,2,Attribute,PK,Business Segment,Code,Identifier,,1..1,The unique code identifying a specific business segment.,Base,4,Identifier Short
212,2,Attribute,,Business Segment,Name,Name,,0..1,The designated label for a distinct area of a company's operations.,Base,4,Name Medium
213,2,Attribute,PK,Business Segment,Segment Reference Level,Char,,1..1,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Char Short
214,2,Attribute,,Business Segment,Organization Type Name,Name,,0..1,"The designation of the type of organizational unit, such as a department or cost center.",Base,4,Name Short
215,1,Class,,Business Segment Hierarchy,,,,,"A class organizes and links the structure and relationships of business units, allowing transaction integration from lower to higher levels.",Base,6,
216,2,Reference Association,PK,Business Segment Hierarchy,Child,,Business Segment,1..1,The business segment instance that is designated as a subordinate in a business segment hierarchy structure.,Base,6,
217,2,Reference Association,PK,Business Segment Hierarchy,Parent,,Business Segment,1..1,The business segment instance that is designated as a superior in a business segment hierarchy structure.,Base,6,
218,1,Class,,Contact,,,,,A class that details the communication information for an individual or entity.,General,,
219,2,Attribute,,Contact,Name,Name,,0..1,The full name of an individual or entity that is a point of contact.,General,,Name Medium
220,2,Attribute,,Contact,Phone,Char,,0..1,The telephone number associated with a contact.,General,,PHONE NUMBER
221,2,Attribute,,Contact,Email,Char,,0..1,The electronic mail address associated with a contact.,General,,EMAIL
222,1,Abstract Class,,Contract,,,,,An abstract class that encapsulates the terms and agreements between parties.,General,,
223,2,Attribute,PK,Contract,ID,Identifier,,1..1,The unique identifier for a contract.,General,,Identifier Medium
224,2,Attribute,,Contract,Number,Char,,0..1,"The number for a contract, facilitating its recognition and retrieval within a system.",General,,Char Long
225,2,Attribute,,Contract,Type Name,Name,,0..1,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,General,,Name Medium
226,2,Attribute,,Contract,Beginning Date,Date,,0..1,The date on which the terms of a contract become effective.,General,,DATE
227,2,Attribute,,Contract,Ending Date,Date,,0..1,The date on which the terms of a contract conclude or expire.,General,,DATE
228,2,Attribute,,Contract,Status,Code,,0..1,The current state of the contract's lifecycle.,General,,STATUS CODE
229,2,Attribute,,Contract,Remark,Text,,0..1,Annotations or supplemental information for a contract.,General,,Text Medium
230,2,Composition,,Contract,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General,,
231,2,Reference Association,,Contract,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
232,2,Reference Association,,Contract,Transaction,,Currency,0..1,The currency in which the financial transaction for contracts denominated.,General,,
233,2,Reference Association,,Contract,,,Payment Term,0..1,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",General,,
234,2,Reference Association,,Contract,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General,,
235,1,Abstract Class,,Contract Line,,,,,An abstract class that details individual terms or items within a contract.,General,,
236,2,Attribute,PK,Contract Line,ID,Identifier,,1..1,The unique identifier for a line item within a contract.,General,,Identifier Medium
237,2,Attribute,,Contract Line,Number,Char,,0..1,"The number for a specific line within a contract, enabling distinction and reference.",General,,Char Short
238,2,Attribute,,Contract Line,Due Date,Date,,0..1,The final date by which delivery of products or materials is requested.,General,,DATE
239,2,Attribute,,Contract Line,Status,Code,,0..1,The current state of the contract line item's lifecycle.,General,,STATUS CODE
240,2,Composition,,Contract Line,Tax Exclude,,Amount,0..1,"The monetary amount of a contract line item without tax, recorded in the transaction currency.",General,,
241,2,Composition,,Contract Line,Tax Exclude Unit Price,,Amount,0..1,"The price per unit of a contract line item with tax included, recorded in the transaction currency.",General,,
242,2,Composition,,Contract Line,Tax Include,,Amount,0..1,"The monetary amount of a contract line item including tax, recorded in the transaction currency.",General,,
243,2,Composition,,Contract Line,Tax Include Unit Price,,Amount,0..1,Unit price (including tax) in transaction currency.,General,,
244,2,Composition,,Contract Line,,,Quantity,0..1,The quantity of items detailed in a contract line item.,General,,
245,2,Composition,,Contract Line,,,Tax,0..*,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,
246,2,Reference Association,,Contract Line,Settlement Organization,,Business Segment,0..1,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
247,2,Reference Association,,Contract Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General,,
248,2,Reference Association,,Contract Line,,,Inventory Product,0..1,The inventory product specified in a contract line item.,General,,
249,1,Class,,Currency,,,,,A class holds information about different currencies.,Base,30,
250,2,Attribute,PK,Currency,Code,Identifier,,1..1,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,CURRENCY CODE
251,2,Attribute,,Currency,Name,Name,,0..1,The official name of the currency utilized in the accounting and/or ERP system.,Base,30,Name Short
252,2,Attribute,,Currency,Minor Unit,Integer,,0..1,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,Base,30,UNIT
253,2,Attribute,,Currency,Active Indicator,Indicator,,0..1,The flag indicating if a currency code is currently accepted for financial transactions.,Base,30,Indicator
254,1,Class,,Customer,,,,,A class holds basic and broad details about customers.,Base,14,
255,2,Attribute,PK,Customer,Account ID,Identifier,,1..1,The unique identifier for a customer account.,Base,14,Identifier Long
256,2,Attribute,,Customer,Account Number,Char,,0..1,The number for a customer's account.,Base,14,Char Long
257,2,Attribute,,Customer,Account Name,Name,,0..1,The legal or registered name of the customer.,Base,14,Name Long
258,2,Attribute,,Customer,Abbreviation,Name,,0..1,The abbreviated representation of a customer's full name used for simplified referencing in a system.,Base,14,Name Medium
259,2,Attribute,,Customer,TIN,Char,,0..1,The tax identification number assigned to the customer by a tax authority.,Base,14,TAX IDENTIFICATION NUMBER
260,2,Attribute,,Customer,Inactive Date,Date,,0..1,"The date marking the change of a customer's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or bankruptcy.",Base,14,DATE
261,2,Attribute,,Customer,Terms Discount Percentage,Decimal,,0..1,"Discount percentage the customer can take if an invoice is paid before a certain number of days.
",Base,14,Percent
262,2,Attribute,,Customer,Terms Discount Days,Integer,,0..1,"The percentage of discount offered by a supplier when payment is made within the specified discount days.
",Base,14,INTEGER
263,2,Attribute,,Customer,Terms Due Days,Integer,,0..1,The standard time period in days before a customer's payment is considered overdue.,Base,14,INTEGER
264,2,Composition,,Customer,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,14,
265,2,Composition,,Customer,Billing,,Address,0..1,"The address to which billing statements and invoices are sent for a customer, typically used for payment processing and correspondence.",Base,14,
266,2,Composition,,Customer,Physical,,Address,0..1,"The actual geographic location of a customer, including street name, number, city, and postal code, where the customer is physically located",Base,14,
267,2,Composition,,Customer,Total Credit Limit,,Amount,0..1,"The maximum monetary amount of credit available to a customer, as defined by the lending institution.",Base,14,
268,2,Composition,,Customer,Transaction Credit Limit,,Amount,0..1,"The maximum monetary amount a customer is authorized to borrow for a single transaction, as set by the credit provider.",Base,14,
269,2,Composition,,Customer,Primary,,Contact,0..1,"The main point of contact for a customer, typically responsible for communication and decision-making regarding business transactions.",Base,14,
270,2,Reference Association,,Customer,,,Customer Type,0..1,A class contains detailed descriptions of customer categories.,Base,14,
271,2,Reference Association,,Customer,Corresponding,,Supplier,0..1,The supplier associated with or equivalent to a specific customer in business transactions.,Base,14,
272,1,Class,,Customer Hierarchy,,,,,A class defines the relationships between individual customers.,Base,14,
273,2,Reference Association,PK,Customer Hierarchy,Child,,Customer,1..1,The customer instance that is designated as a subordinate in a customer hierarchy structure.,Base,14,
274,2,Reference Association,PK,Customer Hierarchy,Parent,,Customer,1..1,The customer instance that is designated as a superior in a customer hierarchy structure.,Base,14,
275,1,Class,,Customer Type,,,,,A class contains detailed descriptions of customer categories.,Base,12,
276,2,Attribute,PK,Customer Type,ID,Identifier,,1..1,The unique identifier for the type of customer.,Base,12,Identifier Medium
277,2,Attribute,,Customer Type,Code,Code,,0..1,The identifier that categorizes the type of customer within an organizational system.,Base,12,CUSTOMER TYPE CODE
278,2,Attribute,,Customer Type,Name,Name,,0..1,The designation for the category of customers based on their attributes.,Base,12,Name Medium
279,1,Class,,Customer Type Hierarchy,,,,,A class outlines the levels and relationships among different types of customers.,Base,12,
280,2,Reference Association,PK,Customer Type Hierarchy,Child,,Customer Type,1..1,The classification of customer that falls under a subordinate level within a customer type hierarchy.,Base,12,
281,2,Reference Association,PK,Customer Type Hierarchy,Parent,,Customer Type,1..1,The classification of customer that holds a superior level within a customer type hierarchy.,Base,12,
318,1,Class,,General Ledger Journal Entry,,,,,"A set of introductory fields in the General Ledger that provides the context for ledger entries, including identifiers like numbers, dates, and descriptive information.",General Ledger,52,
319,2,Attribute,PK,General Ledger Journal Entry,ID,Identifier,,1..1,The unique identifier for a journal entry.,General Ledger,52,Identifier Long
320,2,Attribute,,General Ledger Journal Entry,Number,Char,,0..1,The number for each journal entry in a financial recording system.,General Ledger,52,Char Long
321,2,Attribute,,General Ledger Journal Entry,Effective Date,Date,,0..1,"The date that officially recognizes the journal entry within an entity's financial accounting records, irrespective of the actual entry creation or receipt date.",General Ledger,52,DATE
322,2,Attribute,,General Ledger Journal Entry,Description,Text,,0..1,The text that characterizes the overall journal entry.,General Ledger,52,Text Medium
323,2,Composition,,General Ledger Journal Entry,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General Ledger,52,
324,2,Composition,,General Ledger Journal Entry,,,General Ledger Journal Entry Line,0..*,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,
325,2,Reference Association,,General Ledger Journal Entry,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,52,
326,2,Reference Association,,General Ledger Journal Entry,,,General Ledger Source,0..1,A class holds supplementary details about sources cited in the General Ledger. It documents the originating ERP system or accounting package and details the associated business processes represented by the data.,General Ledger,52,
327,2,Reference Association,,General Ledger Journal Entry,,,Journal Entry Type,0..1,"A class contains information for classifying entries in the General Ledger, clarifying the nature and purpose of each entry.",General Ledger,52,
328,1,Class,,General Ledger Journal Entry Line,,,,,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,
329,2,Attribute,PK,General Ledger Journal Entry Line,Journal ID,Identifier,,1..1,"Unique identifier for each journal entry line.
",General Ledger,52,Identifier Long
330,2,Attribute,,General Ledger Journal Entry Line,Number,Identifier,,0..1,The number for a line within a journal entry.,General Ledger,52,Identifier Long
331,2,Attribute,,General Ledger Journal Entry Line,Description,Text,,0..1,The text that characterizes a line within a journal entry.,General Ledger,52,Text Medium
332,2,Attribute,,General Ledger Journal Entry Line,Debit or Credit Code,Code,,0..1,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",General Ledger,52,DEBIT CREDIT CODE
333,2,Attribute,,General Ledger Journal Entry Line,Reversal Indicator,Code,,0..1,A code that indicates if a general ledger entry line is a reversal or is to be reversed.,General Ledger,52,REVERSAL INDICATOR CODE
334,2,Attribute,,General Ledger Journal Entry Line,Reversal Journal ID,Char,,0..1,The Journal ID of the journal entry line that corresponds to the original entry line being reversed if the Reversal Indicator is set.,General Ledger,52,Char Long
335,2,Attribute,,General Ledger Journal Entry Line,Cancellation Indicator,Indicator,,0..1,"Signifies whether a journal entry line, already formed but not yet posted, has been cancelled or not.",General Ledger,52,Indicator
336,2,Composition,,General Ledger Journal Entry Line,,,Account Segment,0..*,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General Ledger,52,
337,2,Composition,,General Ledger Journal Entry Line,Unit Price,,Amount,0..1,"The monetary amount refers to the price per unit of inventory or property, plant, and equipment (PPE).",General Ledger,52,
338,2,Composition,,General Ledger Journal Entry Line,,,Amounts,0..1,The multi-currency monetary amounts represents the monetary values of ledger accounts.,General Ledger,52,
339,2,Composition,,General Ledger Journal Entry Line,,,Bill,0..1,The initial source document associated with this journal entry.,General Ledger,52,
340,2,Composition,,General Ledger Journal Entry Line,,,Quantity,0..1,A class represents the number of items referenced in the journal entry line. It is particularly relevant for inventories or fixed assets.,General Ledger,52,
341,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,,Bank Account,0..1,Refers to a specific segment within the accounting system that contains information related to bank accounts.,General Ledger,52,
342,2,Reference Association,,General Ledger Journal Entry Line,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,52,
343,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,,Employee,0..1,Refers to a specific segment within the accounting system that contains information related to employee.,General Ledger,52,
344,2,Reference Association,,General Ledger Journal Entry Line,,,Ledger Account,0..1,"The Ledger Account records essential details of General Ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,52,
345,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,,Project,0..1,Refers to a specific segment within the accounting system that contains information related to project,General Ledger,52,
346,2,Reference Association,,General Ledger Journal Entry Line,,,Settlement Method,0..1,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General Ledger,52,
347,1,Class,,General Ledger Period Balance,,,,,"A class that includes the cumulative total and balance of all accounts within an accounting period. It calculates and presents the starting and ending balances, amounts over the period, and quantities of assets or resources, ensuring a comprehensive reflection of financial status and changes in the General Ledger.",General Ledger,58,
348,2,Attribute,,General Ledger Period Balance,Beginning Balance Indicator,Code,,0..1,The designation that identifies whether the starting balance of an account is a debit or a credit.,General Ledger,58,DEBIT CREDIT CODE
349,2,Attribute,,General Ledger Period Balance,Ending Balance Indicator,Code,,0..1,The marker that specifies the nature of the account balance at the end of an accounting period as either a debit or a credit.,General Ledger,58,DEBIT CREDIT CODE
350,2,Composition,,General Ledger Period Balance,,,Account Segment,0..*,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General Ledger,58,
351,2,Composition,,General Ledger Period Balance,Beginning Balance,,Amounts,0..1,The multi-currency monetary amounts represents the monetary values of ledger accounts at the start of a specified accounting period.,General Ledger,58,
352,2,Composition,,General Ledger Period Balance,Credit,,Amounts,0..1,"The multi-currency monetary amounts represents the total amount credited to an account during a specific accounting period. It reflects the cumulative sum of credit transactions recorded within the General Ledger, providing insight into the financial activity and changes within the specified period.",General Ledger,58,
353,2,Composition,,General Ledger Period Balance,Debit,,Amounts,0..1,"The multi-currency monetary amounts represents the total amount debited to an account during a specific accounting period. It reflects the cumulative sum of debit transactions recorded within the General Ledger, providing insight into the financial activity and changes within the specified period.",General Ledger,58,
354,2,Composition,,General Ledger Period Balance,Ending Balance,,Amounts,0..1,The multi-currency monetary amounts represents the monetary values of ledger accounts at the end of a specified accounting period,General Ledger,58,
355,2,Composition,,General Ledger Period Balance,Beginning,,Quantity,0..1,"The initial amount of items in the inventory or the Property, Plant, and Equipment (PPE) account at the start of a period.",General Ledger,58,
356,2,Composition,,General Ledger Period Balance,Credit,,Quantity,0..1,"Denotes the quantity of inventory or Property, Plant, and Equipment (PPE) credited during a specific accounting period. It represents the cumulative total of quantities associated with credit transactions recorded within the General Ledger, offering insights into the inventory or PPE movements over the specified period.",General Ledger,58,
357,2,Composition,,General Ledger Period Balance,Debit,,Quantity,0..1,"Denotes the quantity of inventory or Property, Plant, and Equipment (PPE) debited during a specific accounting period. It represents the cumulative total of quantities associated with debit transactions recorded within the General Ledger, offering insights into the inventory or PPE movements over the specified period.",General Ledger,58,
358,2,Composition,,General Ledger Period Balance,Ending,,Quantity,0..1,"The final amount of items in the inventory or the Property, Plant, and Equipment (PPE) account at the end of a period.",General Ledger,58,
359,2,Reference Association,PK,General Ledger Period Balance,,,Accounting Period,1..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,58,
360,2,Reference Association,,General Ledger Period Balance,Account Segment,,Bank Account,0..1,Refers to a specific segment within the accounting system that contains information related to bank accounts.,General Ledger,58,
361,2,Reference Association,,General Ledger Period Balance,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,58,
362,2,Reference Association,,General Ledger Period Balance,Account Segment,,Employee,0..1,Refers to a specific segment within the accounting system that contains information related to employee.,General Ledger,58,
363,2,Reference Association,PK,General Ledger Period Balance,,,Ledger Account,1..1,"records essential details of General Ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,58,
364,2,Reference Association,,General Ledger Period Balance,,,Measurement Unit,0..1,Ecompasses information regarding the unit of measurement (UOM).,General Ledger,58,
365,2,Reference Association,,General Ledger Period Balance,Account Segment,,Project,0..1,Refers to a specific segment within the accounting system that contains information related to project.,General Ledger,58,
366,1,Class,,General Ledger Source,,,,,"A class details the origins of data in the General Ledger Journal Entry, including the ERP systems or accounting packages involved and the related business processes.",General Ledger,54,
367,2,Attribute,PK,General Ledger Source,Code,Identifier,,1..1,The unique code indicating the origin of a journal entry.,General Ledger,54,Identifier Short
368,2,Attribute,,General Ledger Source,Description,Text,,0..1,The explanation of the source system for the general ledger.,General Ledger,54,Text Medium
369,2,Attribute,,General Ledger Source,ERP Subledger Module,Char,,0..1,"The specific subledger or ERP module source of a journal entry, reflecting the origin within the accounting system or process.",General Ledger,54,Char Long
370,2,Attribute,,General Ledger Source,System Manual Code,Code,,0..1,A code that denotes whether a journal entry was created automatically by the system or by input manually.,General Ledger,54,SYSTEM MANUAL CODE
371,2,Attribute,,General Ledger Source,Business Process Major,Char,,0..1,The main category of business activities as recorded in the general ledger.,General Ledger,54,Char Long
372,2,Attribute,,General Ledger Source,Business Process Minor,Char,,0..1,The specific activities or sub-categories within a broader business process context.,General Ledger,54,Char Long
373,1,Class,,General Ledger Trial Balance,,,,,"A class contains ledger account balances within the accounting system, presenting ending balances at a specific point in time to ensure consistency with the General Ledger entries.",General Ledger,50,
374,2,Attribute,,General Ledger Trial Balance,Balance As Of Date,Date,,0..1,The date specifying the point until which the general ledger trial balance is accurate and inclusive of all account transactions.,General Ledger,50,DATE
