Loendi väärtuste loetelu,,,,,,,,,,,,,,,,,,,,,,,,,,
Loendi API:,https://estat.stat.ee/codelists/codelist/DOCUMENTTYPEDESCRIPTION_enum,,,,,,,,,,,,,,,,,,,,,,,,,
codeListCode,DOCUMENTTYPEDESCRIPTION_enum,,,,,,,,,,,,,,,,,,,,,,,,,
codeListName,Dokumendi kirjeldus,,,,,,,,,,,,,,,,,,,,,,,,,
"Sektsioonide maatriks (tabeli lõpus) näitab, millistesse sektsioonidesse saab olla element sisendiks",,,,,,,,,,,,,,,,,,,,,,,,,,
Klassifikaatori elemendi kood,Hierarhias kõrgemal oleva selle elemendi grupi kood,Hierarhilise klassifikaatori elemendi taseme kood,Klassifikaatori elemendi valitavus: 0 = ei ole valitav; 1 = valitav,,Elemendi nimetus eesti keeles,Elemendi nimetus inglise keeles,Elemendi nimetus vene keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst eesti keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst inglise keeles,Elemendi kohta esitatud kirjeldav või selgitav tekst vene keeles,"Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - eesti keeles","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all esitada (nt sünonüümsed ja lähedased nimetused või näited) - vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), eesti keeles","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täiendav täpsustav selgitus, mida elemendi all esitada (nn piiripealsed või eriliigilised juhtumid, mida elemendi all esitada), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), inglise keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)","Täpsustav selgitus, mida elemendi all mitte esitada (nt lähedase sõnastusega nimetus, mis liigitub aga teise elemendi alla), vene keeles (NB! Sünonüümide osas pole keelelist üks-ühest vastavust)",Klassifikaatori elemendil kasutatava mõõtühiku kood,Klassifikaatori elemendil kasutatava mõõtühiku tähis eesti keeles,"Sama, mis eelmine, inglise keeles","Sama, mis eelmine, vene keeles",Elemendi kehtivuse algusaeg (YYYY-MM-DD),Elemendi kehtivuse lõpuaeg (YYYY-MM-DD),EE0501001
code,parentCode,level,selectable,,name_ET,name_EN,name_RU,explanation_ET,explanation_EN,explanation_RU,included_ET,included_EN,included_RU,included_extra_ET,included_extra_EN,included_extra_RU,excluded_ET,excluded_EN,excluded_RU,unitCode,unit_ET,unit_EN,unit_RU,validFromDate,validUntilDate,
PASS,,,,,Pass,Passport,,,,,,,,,,,,,,,,,,2022-01-01,,"Jah* - tingimuslik. Vajalik esitada siis, kui reisidokumendi liigiks on antud elemendi väärtus."
ID_KAART,,,,,ID-kaart,ID-card,,,,,,,,,,,,,,,,,,2022-01-01,,"Jah* - tingimuslik. Vajalik esitada siis, kui reisidokumendi liigiks on antud elemendi väärtus."
MUU_REISIDOKUMENT,,,,,Muu reisidokument,Other travel document,,,,,,,,,,,"Pass, ID-kaart","Passport, ID-card",,,,,,2022-01-01,,"Jah* - tingimuslik. Vajalik esitada siis, kui reisidokumendi liigiks on antud elemendi väärtus."
